seg,onset_sec,speaker,actor,main_char,section
"The gray-haired man continued for a moment to hold the phone to his ear, then lowered it into its cradle.",485.6,narrator,lee,lee,4
"""What did he say?"" the girl immediately asked him. ",492.2,girl,,girl,
"He picked his cigarette out of the ashtray—that is, selected it from an accumulation of smoked and half-smoked cigarettes. He dragged on it and said,",497.7,narrator,lee,lee,
"""He wanted to come over for a drink.""",506.9,lee,,lee,
"""God! ",509.7,girl,,girl,
"What did you say?"" said the girl.",511,girl,,girl,
"""You heard me,"" the gray-haired man said,",513.4,lee,,lee,
and looked at her.,516.5,narrator,lee,lee,
"""You were wonderful. Absolutely marvellous,"" the girl said, watching him. ",517.3,girl,,girl,
"""Well,"" the gray-haired man said, ""it's a tough situation.",523.8,lee,,lee,
"I don't know how marvelous I was.""",527.5,lee,,lee,
"""You were, you were wonderful,"" the girl said. ",530,girl,,girl,
"The gray-haired man looked at her. ""Well, it's a very, very tough situation. The guy's obviously going through absolute—""",533.8,narrator,lee,lee,
The phone suddenly rang.,542.2,narrator,,,5
"The gray-haired man said ""Christ!""",543.6,lee,,lee,
but picked it up before the second ring.,546,narrator,lee,lee,
"""Hello?"" he said into it.",548.3,lee,,lee,
"""Lee? Were you asleep?""",550,arthur,,arthur,
"""No, uh, no.""",551.6,lee,,lee,
"""Listen, I just thought you'd want to know. Joanie just barged in.""",554,arthur,,arthur,6
"""What?"" said the gray-haired man,",558.2,lee,,lee,
" and bridged his left hand over his eyes, though the light was behind him.",561.5,narrator,lee,lee,
"""Yeah, she just barged in. About ten seconds after I spoke to you.",565.8,arthur,,arthur,
 I just thought I'd give you a ring while she's in the john.,570.2,arthur,,arthur,
"Listen, thanks a million, Lee. I mean it.",573.8,arthur,,arthur,
"You weren't asleep, were you?""",576.4,arthur,,arthur,
"""No, no, I was just—No, no,"" the gray-haired man said,",578.3,lee,,lee,
leaving his fingers bridged over his eyes.,584.2,narrator,lee,lee,
He cleared his throat.,586.5,narrator,lee,lee,
"""Yeah. What happened was, apparently Leona got stinking and then had a goddam crying jag, and Bob wanted Joanie to go out and grab a drink with them somewhere.",587.7,arthur,,arthur,
"Anyway, so she's home.",601.9,arthur,,arthur,
"What a rat race. Honest to God, I think it's this goddamn New York. ",603.7,arthur,,arthur,
"What I think maybe we'll do, if everything goes along all right, we'll get ourselves a little place in Connecticut maybe.",608,arthur,,arthur,
" Not too far out, necessarily, but far enough that we can lead a normal goddamn life. ",614.6,arthur,,arthur,
"I mean she's crazy about plants and all that stuff. She'd probably go mad if she had a garden, if she had her own goddam garden and stuff.",621,arthur,,arthur,
Know what I mean? ,627.8,arthur,,arthur,
I mean—except you—who do we know in New York except a bunch of neurotics?,629.1,arthur,,arthur,
It's bound to undermine even a normal person sooner or later. ,633.5,arthur,,arthur,
"Know what I mean?""",637.2,arthur,,arthur,
"""Listen, Arthur,"" the gray-haired man interrupted,",638.8,lee,,lee,
